ma_phutung,ten_san_pham,gia_si,gia_le
00X4FK66A100,GUIDE BOOK,5670,
04801K0G900ZA,"COVER COMP,R BODY *R376P*",1183896,1503360
04801K0G900ZB,"COVER COMP,R BODY *PB415P*",1183896,1503360
04801K0G900ZC,"COVER COMP,R BODY *NHB95P*",1183896,1503360
04801K0G900ZE,"COVER COMP,R BODY",1188432,1509840
04801K0G900ZF,"COVER COMP,R BODY",0,0
04911K1ZJ10,"CRANK CASE COMP,LEFT(KF47E)",0,0
04911K1ZJ50,"CRANKCASE COMP,LEFT(KF47E)",0,0
04911K2AJ20,"CASE,MISSION SET (MF17E)",0,0
04911K36J00,"CRANK CASE COMP, LEFT (KF18E)",0,0
04911K97J00,"CRANK CASE COMP,LEFT (KF30E)",1266100,
06111GGZJ00,"GASKET KIT, A",0,0
06111K0RA00,"GASKET KIT,A",134200,
06111K0RD00,"GASKET KIT,A",0,0
06111K0SD00,"GASKET KIT,A",0,0
06111K12910,"GASKET KIT, A",168966,217080
06111K12J00,GASKET KIT A,792666,
06111K1BD41,"GASKET,KIT A",0,0
06111K1ND00,"GASKET KIT,A",757512,
06111K1ND40,"GASKET KIT,A",757512,
06111K1YJ10,GASKET KIT A,0,0
06111K1ZJ10,GASKET KIT A,0,0
06111K26920,"GASKET KIT,A",142884,180360
06111K29D80,"GASKET KIT,A",704214,
06111K2AJ20,"GASKET KIT,A",0,0
06111K2CD00,GASKET KIT A,82005,
06111K2TJ00,"GASKET KIT,A",0,0
06111K35J00,"GASKET KIT, A",0,0
06111K36J00,GASKET KIT A,0,0
06111K40D20,"GASKET,KIT A",0,0
06111K44J00,"GASKET KIT, A",0,0
06111K44J01,"GASKET KIT, A",0,0
06111K44J50,"GASKET KIT,A",,
06111K53D00,GASKET KIT_A EAT BELT,2557440,
06111K77D30,GASKET KIT A,0,0
06111K78D30,GASKET KIT A,0,0
06111K96J00,GASKET KIT A,300240,
06111K96J01,GASKET KIT A,304560,
06111K97J00,GASKET KIT A,304560,
06111K97J01,GASKET KIT A,304560,
06111KTF640,"GASKET KIT, A",874314,1111320
06111KTF641,"GASKET KIT, A",892458,1136160
06111KTG640,"GASKET KIT, A",874314,1111320
06111KTG641,"GASKET KIT, A",892458,1136160
06111KYJ902,"GASKET KIT,A",361746,
06111KZY900,GASKET KIT A,0,0
06111MFJD00,"GASKET KIT,A",0,0
06111MFL000,GASKET KIT A,3353238,4259520
06111MGZA00,GASKET KIT A,706482,
